Timestamp,Target IP,Hop Number,Hop IP,Latency
2024-11-07 23:10:17,64.15.126.0,HOST:,Sarahs-MacBook-Pro.local,Last ms
2024-11-07 23:10:17,64.15.126.0,1,10.192.146.1,1.8 ms
2024-11-07 23:10:17,64.15.126.0,2,172.22.1.1,2.1 ms
2024-11-07 23:10:17,64.15.126.0,3,???,0.0 ms
2024-11-07 23:10:17,64.15.126.0,4,172.21.18.154,36.3 ms
2024-11-07 23:10:17,64.15.126.0,5,213.144.168.20,20.7 ms
2024-11-07 23:10:17,64.15.126.0,6,149.3.183.83,31.4 ms
2024-11-07 23:10:17,64.15.126.0,7,195.22.209.223,41.2 ms
2024-11-07 23:10:17,64.15.126.0,8,???,0.0 ms
2024-11-07 23:10:17,64.15.112.0,HOST:,Sarahs-MacBook-Pro.local,Last ms
2024-11-07 23:10:17,64.15.112.0,1,10.192.146.1,3.1 ms
2024-11-07 23:10:17,64.15.112.0,2,172.22.1.1,3.0 ms
2024-11-07 23:10:17,64.15.112.0,3,???,0.0 ms
2024-11-07 23:10:17,64.15.112.0,4,172.21.18.154,18.3 ms
2024-11-07 23:10:17,64.15.112.0,5,213.144.168.20,22.2 ms
2024-11-07 23:10:17,64.15.112.0,6,149.3.183.83,28.3 ms
2024-11-07 23:10:17,64.15.112.0,7,195.22.209.223,27.3 ms
2024-11-07 23:10:17,64.15.112.0,8,???,0.0 ms
2024-11-07 23:10:17,216.73.80.0,HOST:,Sarahs-MacBook-Pro.local,Last ms
2024-11-07 23:10:17,216.73.80.0,1,10.192.146.1,4003. ms
2024-11-07 23:10:17,216.73.80.0,2,172.22.1.1,4004. ms
2024-11-07 23:10:17,216.73.80.0,3,???,0.0 ms
2024-11-07 23:10:17,216.73.80.0,4,172.21.18.154,17.4 ms
2024-11-07 23:10:17,216.73.80.0,5,googlepni01parth2-crco01p,18.4 ms
2024-11-07 23:10:17,216.73.80.0,6,???,0.0 ms
2024-11-07 23:10:17,216.73.80.0,7,142.251.49.130,18.2 ms
2024-11-07 23:10:17,216.73.80.0,8,192.178.81.162,17.9 ms
2024-11-07 23:10:17,216.73.80.0,9,72.14.238.63,4024. ms
2024-11-07 23:10:17,216.73.80.0,10,192.178.81.40,97.8 ms
2024-11-07 23:10:17,216.73.80.0,11,192.178.81.143,115.6 ms
2024-11-07 23:10:17,216.73.80.0,12,142.251.254.56,110.2 ms
2024-11-07 23:10:17,216.73.80.0,13,142.251.67.139,125.3 ms
2024-11-07 23:10:17,216.73.80.0,14,142.251.70.198,130.0 ms
2024-11-07 23:10:17,216.73.80.0,15,108.170.228.100,128.7 ms
2024-11-07 23:10:17,216.73.80.0,16,216.239.59.73,128.3 ms
2024-11-07 23:10:17,216.73.80.0,17,172.253.78.58,128.1 ms
2024-11-07 23:10:17,216.73.80.0,18,???,0.0 ms
2024-11-07 23:10:17,208.65.152.0,HOST:,Sarahs-MacBook-Pro.local,Last ms
2024-11-07 23:10:17,208.65.152.0,1,10.192.146.1,1.8 ms
2024-11-07 23:10:17,208.65.152.0,2,172.22.1.1,2.2 ms
2024-11-07 23:10:17,208.65.152.0,3,???,0.0 ms
2024-11-07 23:10:17,208.65.152.0,4,172.21.18.154,18.0 ms
2024-11-07 23:10:17,208.65.152.0,5,googlepni01parth2-crco01p,17.5 ms
2024-11-07 23:10:17,208.65.152.0,6,???,0.0 ms
2024-11-07 23:10:17,208.65.152.0,7,142.251.64.126,19.4 ms
2024-11-07 23:10:17,208.65.152.0,8,???,0.0 ms
2024-11-07 23:10:17,208.117.254.0,HOST:,Sarahs-MacBook-Pro.local,Last ms
2024-11-07 23:10:17,208.117.254.0,1,10.192.146.1,2.0 ms
2024-11-07 23:10:17,208.117.254.0,2,172.22.1.1,2.1 ms
2024-11-07 23:10:17,208.117.254.0,3,???,0.0 ms
2024-11-07 23:10:17,208.117.254.0,4,172.21.18.154,18.1 ms
2024-11-07 23:10:17,208.117.254.0,5,googlepni01parth2-crco01p,19.2 ms
2024-11-07 23:10:17,208.117.254.0,6,???,0.0 ms
2024-11-07 23:10:17,208.117.254.0,7,216.239.48.138,19.5 ms
2024-11-07 23:10:17,208.117.254.0,8,108.170.255.238,20.2 ms
2024-11-07 23:10:17,208.117.254.0,9,108.170.230.211,18.7 ms
2024-11-07 23:10:17,208.117.254.0,10,192.178.81.42,96.7 ms
2024-11-07 23:10:17,208.117.254.0,11,192.178.81.229,108.9 ms
2024-11-07 23:10:17,208.117.254.0,12,192.178.72.201,116.1 ms
2024-11-07 23:10:17,208.117.254.0,13,209.85.254.99,119.8 ms
2024-11-07 23:10:17,208.117.254.0,14,108.170.252.161,128.7 ms
2024-11-07 23:10:17,208.117.254.0,15,172.253.51.123,127.2 ms
2024-11-07 23:10:17,208.117.254.0,16,192.178.97.153,129.5 ms
2024-11-07 23:10:17,208.117.254.0,17,74.125.242.224,125.7 ms
2024-11-07 23:10:17,208.117.254.0,18,???,0.0 ms
2024-11-07 23:10:17,208.117.254.0,19,208.117.254.0,132.5 ms
2024-11-07 23:10:17,208.117.251.0,HOST:,Sarahs-MacBook-Pro.local,Last ms
2024-11-07 23:10:17,208.117.251.0,1,10.192.146.1,7006. ms
2024-11-07 23:10:17,208.117.251.0,2,172.22.1.1,7009. ms
2024-11-07 23:10:17,208.117.251.0,3,???,0.0 ms
2024-11-07 23:10:17,208.117.251.0,4,172.21.18.154,17.7 ms
2024-11-07 23:10:17,208.117.251.0,5,213.144.168.20,20.6 ms
2024-11-07 23:10:17,208.117.251.0,6,195.22.195.99,100.2 ms
2024-11-07 23:10:17,208.117.251.0,7,195.22.195.51,107.5 ms
2024-11-07 23:10:17,208.117.251.0,8,be-3212-cs02.newyork.ny.i,108.2 ms
2024-11-07 23:10:17,208.117.251.0,9,be-32011-ar01.needham.ma.,97.7 ms
2024-11-07 23:10:17,208.117.251.0,10,???,0.0 ms
2024-11-07 23:10:17,208.117.250.0,HOST:,Sarahs-MacBook-Pro.local,Last ms
2024-11-07 23:10:17,208.117.250.0,1,10.192.146.1,4.3 ms
2024-11-07 23:10:17,208.117.250.0,2,172.22.1.1,2.9 ms
2024-11-07 23:10:17,208.117.250.0,3,???,0.0 ms
2024-11-07 23:10:17,208.117.250.0,4,172.21.18.154,18.2 ms
2024-11-07 23:10:17,208.117.250.0,5,crco01pareq2-crco01parth2,35.0 ms
2024-11-07 23:10:17,208.117.250.0,6,linx-lon1-loneq8-1.core.w,34.1 ms
2024-11-07 23:10:17,208.117.250.0,7,linx-gw1.ja.net,39.0 ms
2024-11-07 23:10:17,208.117.250.0,8,ae23.londtt-sbr1.ja.net,30.7 ms
2024-11-07 23:10:17,208.117.250.0,9,ae28.londtw-sbr2.ja.net,29.2 ms
2024-11-07 23:10:17,208.117.250.0,10,ae31.lowdss-sbr1.ja.net,29.9 ms
2024-11-07 23:10:17,208.117.250.0,11,ae29.leedaq-sbr2.ja.net,53.0 ms
2024-11-07 23:10:17,208.117.250.0,12,gi0-0-1.leed-ban1.ja.net,32.6 ms
2024-11-07 23:10:17,208.117.250.0,13,???,0.0 ms
2024-11-07 23:10:17,208.117.240.0,HOST:,Sarahs-MacBook-Pro.local,Last ms
2024-11-07 23:10:17,208.117.240.0,1,10.192.146.1,4006. ms
2024-11-07 23:10:17,208.117.240.0,2,172.22.1.1,4008. ms
2024-11-07 23:10:17,208.117.240.0,3,???,0.0 ms
2024-11-07 23:10:17,208.117.240.0,4,172.21.18.154,18.0 ms
2024-11-07 23:10:17,208.117.240.0,5,crco01pareq2-crco01parth2,26.8 ms
2024-11-07 23:10:17,208.117.240.0,6,linx-lon1-loneq8-1.core.w,26.6 ms
2024-11-07 23:10:17,208.117.240.0,7,linx1.bezeqint.co.il,83.6 ms
2024-11-07 23:10:17,208.117.240.0,8,???,0.0 ms
2024-11-07 23:10:17,208.117.240.0,9,???,0.0 ms
2024-11-07 23:10:17,208.117.240.0,10,???,0.0 ms
2024-11-07 23:10:17,208.117.240.0,11,bzq-84-110-34-200.static-,85.4 ms
2024-11-07 23:10:17,208.117.240.0,12,185.25.28.214,374.9 ms
2024-11-07 23:10:17,208.117.240.0,13,89.207.228.52,384.3 ms
2024-11-07 23:10:17,208.117.240.0,14,185.25.28.139,382.9 ms
2024-11-07 23:10:17,208.117.240.0,15,185.25.28.127,381.5 ms
2024-11-07 23:10:17,208.117.240.0,16,185.25.29.96,381.0 ms
2024-11-07 23:10:17,208.117.240.0,17,185.25.28.47,374.8 ms
2024-11-07 23:10:17,208.117.240.0,18,185.25.30.8,375.4 ms
2024-11-07 23:10:17,208.117.240.0,19,???,0.0 ms
2024-11-07 23:10:17,208.117.238.0,HOST:,Sarahs-MacBook-Pro.local,Last ms
2024-11-07 23:10:17,208.117.238.0,1,10.192.146.1,3.0 ms
2024-11-07 23:10:17,208.117.238.0,2,172.22.1.1,2.3 ms
2024-11-07 23:10:17,208.117.238.0,3,???,0.0 ms
2024-11-07 23:10:17,208.117.238.0,4,172.21.18.154,18.2 ms
2024-11-07 23:10:17,208.117.238.0,5,wifirst.dc3-2.hopus.net,17.8 ms
2024-11-07 23:10:17,208.117.238.0,6,wifirst.dc3-2.rt.hopus.ne,20.4 ms
2024-11-07 23:10:17,208.117.238.0,7,lag-dc3-2.pa3-1.rt.hopus.,17.9 ms
2024-11-07 23:10:17,208.117.238.0,8,lag-pa3-1.fra8-2.rt.hopus,26.8 ms
2024-11-07 23:10:17,208.117.238.0,9,???,0.0 ms
2024-11-07 23:10:17,208.117.238.0,10,de-fra02a-rc1-ae-30-0.aor,32.1 ms
2024-11-07 23:10:17,208.117.238.0,11,nl-ams17b-rc1-lag-104-0.a,27.1 ms
2024-11-07 23:10:17,208.117.238.0,12,???,0.0 ms
2024-11-07 23:10:17,208.117.238.0,13,dd5e0fa25.access.telenet.,35.5 ms
2024-11-07 23:10:17,208.117.238.0,14,???,0.0 ms
2024-11-07 23:10:17,208.117.224.0,HOST:,Sarahs-MacBook-Pro.local,Last ms
2024-11-07 23:10:17,208.117.224.0,1,10.192.146.1,2.0 ms
2024-11-07 23:10:17,208.117.224.0,2,172.22.1.1,2.2 ms
2024-11-07 23:10:17,208.117.224.0,3,???,0.0 ms
2024-11-07 23:10:17,208.117.224.0,4,172.21.18.154,18.0 ms
2024-11-07 23:10:17,208.117.224.0,5,googlepni01parth2-crco01p,18.8 ms
2024-11-07 23:10:17,208.117.224.0,6,???,0.0 ms
2024-11-07 23:10:17,208.117.224.0,7,142.250.224.92,17.8 ms
2024-11-07 23:10:17,208.117.224.0,8,192.178.104.28,22.6 ms
2024-11-07 23:10:17,208.117.224.0,9,108.170.230.211,19.4 ms
2024-11-07 23:10:17,208.117.224.0,10,216.239.43.186,93.2 ms
2024-11-07 23:10:17,208.117.224.0,11,192.178.81.227,108.6 ms
2024-11-07 23:10:17,208.117.224.0,12,192.178.73.8,122.4 ms
2024-11-07 23:10:17,208.117.224.0,13,209.85.254.99,120.6 ms
2024-11-07 23:10:17,208.117.224.0,14,108.170.252.161,132.5 ms
2024-11-07 23:10:17,208.117.224.0,15,172.253.51.117,133.2 ms
2024-11-07 23:10:17,208.117.224.0,16,192.178.108.203,131.4 ms
2024-11-07 23:10:17,208.117.224.0,17,74.125.242.224,125.5 ms
2024-11-07 23:10:17,208.117.224.0,18,???,0.0 ms
2024-11-07 23:10:17,172.110.32.0,HOST:,Sarahs-MacBook-Pro.local,Last ms
2024-11-07 23:10:17,172.110.32.0,1,10.192.146.1,7007. ms
2024-11-07 23:10:17,172.110.32.0,2,172.22.1.1,7007. ms
2024-11-07 23:10:17,172.110.32.0,3,???,0.0 ms
2024-11-07 23:10:17,172.110.32.0,4,172.21.18.154,17.5 ms
2024-11-07 23:10:17,172.110.32.0,5,googlepni01parth2-crco01p,18.2 ms
2024-11-07 23:10:17,172.110.32.0,6,???,0.0 ms
2024-11-07 23:10:17,172.110.32.0,7,142.250.234.40,18.6 ms
2024-11-07 23:10:17,172.110.32.0,8,192.178.104.28,21.4 ms
2024-11-07 23:10:17,172.110.32.0,9,209.85.251.59,1021. ms
2024-11-07 23:10:17,172.110.32.0,10,108.170.235.172,26.8 ms
2024-11-07 23:10:17,172.110.32.0,11,172.253.72.97,96.7 ms
2024-11-07 23:10:17,172.110.32.0,12,108.170.227.149,98.0 ms
2024-11-07 23:10:17,172.110.32.0,13,192.178.106.163,101.8 ms
2024-11-07 23:10:17,172.110.32.0,14,192.178.106.112,97.7 ms
2024-11-07 23:10:17,172.110.32.0,15,???,0.0 ms
2024-11-07 23:10:17,104.237.190.0,HOST:,Sarahs-MacBook-Pro.local,Last ms
2024-11-07 23:10:17,104.237.190.0,1,10.192.146.1,2.2 ms
2024-11-07 23:10:17,104.237.190.0,2,172.22.1.1,3.1 ms
2024-11-07 23:10:17,104.237.190.0,3,???,0.0 ms
2024-11-07 23:10:17,104.237.190.0,4,172.21.18.154,29.0 ms
2024-11-07 23:10:17,104.237.190.0,5,crco01pareq2-crco01parth2,33.2 ms
2024-11-07 23:10:17,104.237.190.0,6,linx-lon1-loneq8-1.core.w,27.6 ms
2024-11-07 23:10:17,104.237.190.0,7,linx1.bezeqint.co.il,83.3 ms
2024-11-07 23:10:17,104.237.190.0,8,???,0.0 ms
2024-11-07 23:10:17,104.237.190.0,9,???,0.0 ms
2024-11-07 23:10:17,104.237.190.0,10,???,0.0 ms
2024-11-07 23:10:17,104.237.190.0,11,bzq-84-110-34-200.static-,85.1 ms
2024-11-07 23:10:17,104.237.190.0,12,185.25.28.214,98.6 ms
2024-11-07 23:10:17,104.237.190.0,13,89.207.228.82,95.5 ms
2024-11-07 23:10:17,104.237.190.0,14,89.207.225.16,98.0 ms
2024-11-07 23:10:17,104.237.190.0,15,???,0.0 ms
2024-11-07 23:10:17,104.237.189.0,HOST:,Sarahs-MacBook-Pro.local,Last ms
2024-11-07 23:10:17,104.237.189.0,1,10.192.146.1,3002. ms
2024-11-07 23:10:17,104.237.189.0,2,172.22.1.1,3003. ms
2024-11-07 23:10:17,104.237.189.0,3,???,0.0 ms
2024-11-07 23:10:17,104.237.189.0,4,172.21.18.154,17.7 ms
2024-11-07 23:10:17,104.237.189.0,5,port-channel12.core2.par2,20.8 ms
2024-11-07 23:10:17,104.237.189.0,6,port-channel11.core2.nyc4,2093. ms
2024-11-07 23:10:17,104.237.189.0,7,port-channel4.core1.nyc6.,3094. ms
2024-11-07 23:10:17,104.237.189.0,8,cr1-tck1-us.globenet.net,96.0 ms
2024-11-07 23:10:17,104.237.189.0,9,globenet.ftlza.br.as52320,162.8 ms
2024-11-07 23:10:17,104.237.189.0,10,???,0.0 ms
2024-11-07 23:10:17,104.237.188.0,HOST:,Sarahs-MacBook-Pro.local,Last ms
2024-11-07 23:10:17,104.237.188.0,1,10.192.146.1,1.7 ms
2024-11-07 23:10:17,104.237.188.0,2,172.22.1.1,2.0 ms
2024-11-07 23:10:17,104.237.188.0,3,???,0.0 ms
2024-11-07 23:10:17,104.237.188.0,4,172.21.18.154,17.9 ms
2024-11-07 23:10:17,104.237.188.0,5,port-channel12.core2.par2,2022. ms
2024-11-07 23:10:17,104.237.188.0,6,???,0.0 ms
2024-11-07 23:10:17,104.237.188.0,7,port-channel4.core1.nyc6.,1094. ms
2024-11-07 23:10:17,104.237.188.0,8,cr1-tck1-us.globenet.net,99.3 ms
2024-11-07 23:10:17,104.237.188.0,9,globenet.ftlza.br.as52320,167.8 ms
2024-11-07 23:10:17,104.237.188.0,10,???,0.0 ms
2024-11-07 23:10:17,104.237.172.0,HOST:,Sarahs-MacBook-Pro.local,Last ms
2024-11-07 23:10:17,104.237.172.0,1,10.192.146.1,3005. ms
2024-11-07 23:10:17,104.237.172.0,2,172.22.1.1,3004. ms
2024-11-07 23:10:17,104.237.172.0,3,???,0.0 ms
2024-11-07 23:10:17,104.237.172.0,4,172.21.18.154,19.1 ms
2024-11-07 23:10:17,104.237.172.0,5,googlepni01parth2-crco01p,17.8 ms
